,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,901722c88ebf50ea,True,1.0,1.0,1.0,1.0,0.7181929358390889,1.0,1.0,1.0,1.0,0.9119352924497153
1,210e056a17d1522d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,45e8b10f95925c47,True,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
3,ac0fb7997f4e5106,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
4,e917a198bd9757a4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,f6195258cc20552f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
6,453bdd4f77af5c90,True,1.0,1.0,1.0,1.0,0.45421338720201127,1.0,1.0,1.0,0.0,0.7044416835006285
7,221199c4bcef5e62,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
8,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,5997813b7cc55036,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
10,23d70775af9754e8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,80ae73dfb4c45e8d,True,0.5,0.0,1.0,1.0,0.9574006815667321,0.0,1.0,1.0,1.0,0.0
12,c9b12b21fa7c57fd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
13,4b594a8e80915943,True,1.0,1.0,1.0,1.0,0.8335083316049967,1.0,1.0,1.0,,0.9405386898589274
14,5a4709a2348f58a7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
15,91defa409f0254d5,True,1.0,1.0,1.0,1.0,0.5195861376238856,1.0,1.0,1.0,0.0,0.7248706680074642
16,260c9a75f6e05785,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
17,4606b66d9fe75354,True,1.0,1.0,1.0,1.0,0.8238531110481504,1.0,1.0,1.0,1.0,0.944954097202547
18,5d3e45ad38ef5b9c,True,1.0,0.0,1.0,1.0,0.9564344307455759,1.0,1.0,1.0,,0.0
19,35f226ec4cac52fc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
20,34f30283d3bd53ec,True,1.0,1.0,1.0,1.0,0.6059142868203702,1.0,1.0,1.0,,0.8592551024358465
21,d5407856a57357ce,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,52de85cf514f5afd,True,0.0,0.0,1.0,1.0,0.9753305458708108,0.0,1.0,1.0,1.0,0.0
