,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,c4b1d4fabd315035,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,df57cf24b8025365,True,1.0,1.0,1.0,1.0,0.5941858909066793,1.0,1.0,1.0,1.0,0.8731830909083373
2,dc39ce9c251551bb,True,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.34375
3,84aa4100e3cc59c4,True,1.0,1.0,1.0,1.0,0.5257906195411026,1.0,1.0,1.0,0.0,0.7268095686065945
4,cd96f8a73c7a5d07,True,1.0,1.0,1.0,1.0,0.45186823402653153,1.0,1.0,1.0,0.0,0.7037088231332911
5,bdbb9d4559ec5bd1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,7f92403d0c6e5b5d,True,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
7,cd2a694affd65d94,True,1.0,1.0,1.0,1.0,0.3660193744303283,1.0,1.0,1.0,0.0,0.6768810545094776
8,b5cc4dfa26465b62,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.875
9,ec8a3deaeb1a53ac,True,1.0,1.0,1.0,1.0,0.273588831650908,1.0,1.0,1.0,1.0,0.7729965098909087
10,f5a6d648a71e5d47,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,f15b772180455c2f,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.875
12,d398c8ceafe050be,True,1.0,1.0,1.0,1.0,0.9691123921633423,1.0,1.0,1.0,,0.988968711486908
13,40d43586b1195366,True,1.0,1.0,1.0,1.0,0.6797138937480571,1.0,1.0,1.0,,0.8856121049100204
14,ab6e020759565f9f,True,1.0,1.0,1.0,1.0,0.4415803031292277,1.0,1.0,1.0,0.0,0.7004938447278837
15,620a34ec02795768,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
16,776069d80826529d,True,1.0,1.0,1.0,1.0,0.4391731872869944,1.0,1.0,1.0,0.0,0.6997416210271857
17,fefe6361de855419,True,1.0,1.0,1.0,1.0,0.5436570470325549,1.0,1.0,1.0,1.0,0.8573928271976734
18,d6641a8596f25d47,True,1.0,1.0,1.0,1.0,0.8338781712085372,1.0,1.0,1.0,0.0,0.8230869285026678
19,4b563d8a22145ed6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,741ee8b9ea3059a5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.8571428571428571
21,2751f9eb641455c9,True,1.0,1.0,1.0,1.0,0.35241879972916734,1.0,1.0,1.0,1.0,0.7976308749153648
22,15e6ef7a85b35d10,True,1.0,1.0,1.0,1.0,0.5291732308116962,1.0,1.0,1.0,0.0,0.7278666346286551
23,43ef28a235035eac,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
24,740f68663d3255e1,True,1.0,1.0,1.0,1.0,0.6148243501368412,1.0,1.0,1.0,1.0,0.8796326094177629
25,963a72ef9c615033,True,1.0,0.0,1.0,1.0,0.8814166395750824,1.0,1.0,1.0,1.0,0.0
26,2bf94996d2325e20,True,1.0,1.0,1.0,1.0,0.586093946823871,1.0,1.0,1.0,1.0,0.8706543583824596
27,64185eb977005752,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,6dca7faa6d145d77,True,1.0,1.0,1.0,1.0,0.8075136167409847,1.0,1.0,1.0,,0.9312548631217802
29,9fd28a8f6fd85254,True,1.0,1.0,1.0,1.0,0.8639185312969005,1.0,1.0,1.0,0.0,0.8324745410302814
30,490475b585895e0e,True,1.0,1.0,1.0,1.0,0.5804519430574251,1.0,1.0,1.0,1.0,0.8688912322054454
31,3eaee893ba995c48,True,1.0,1.0,1.0,1.0,0.8993978896800782,1.0,1.0,1.0,1.0,0.9685618405250245
32,c1255801436851c4,True,1.0,1.0,1.0,1.0,0.9506177958870371,1.0,1.0,1.0,1.0,0.9845680612146991
33,a41f538fa8e25be0,True,1.0,1.0,1.0,1.0,0.9465773126725023,1.0,1.0,1.0,,0.9809204688116081
34,ac0f18be77bd585c,True,1.0,1.0,1.0,1.0,0.3643987093898348,1.0,1.0,1.0,0.0,0.6763745966843233
35,2b5d551f5466530e,True,1.0,1.0,1.0,1.0,0.5109934306159484,1.0,1.0,1.0,0.0,0.7221854470674839
36,eef98aae7e42579d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,ca59ecba5722534c,True,1.0,1.0,1.0,1.0,0.690766529190274,1.0,1.0,1.0,,0.8895594747108121
38,c06c4ffcf72653a5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,0a51eebaccc95c36,True,1.0,0.0,1.0,1.0,0.8261169741055073,1.0,1.0,1.0,1.0,0.0
40,1c9f36db867b50bf,True,1.0,1.0,1.0,1.0,0.9408104563247626,1.0,1.0,1.0,1.0,0.9815032676014883
41,892904870078578a,True,1.0,1.0,1.0,1.0,0.5408198374328888,1.0,1.0,1.0,1.0,0.8565061991977777
42,ef7822ee7fa35042,True,1.0,1.0,1.0,1.0,0.6526133309537108,1.0,1.0,1.0,1.0,0.8914416659230346
43,dded75c35039515f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,0b57b00279885fd4,True,1.0,1.0,1.0,1.0,0.5574808348320524,1.0,1.0,1.0,,0.8419574410114473
45,33b5a72931215b30,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,cf3b00d5d2b953d3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,b43de4c16b8d5e99,True,1.0,1.0,1.0,1.0,0.4524406639500714,1.0,1.0,1.0,0.0,0.7038877074843973
48,e2d33c999ca45ea7,True,1.0,1.0,1.0,1.0,0.7064920858837208,1.0,1.0,1.0,1.0,0.9082787768386628
49,47e3bbbd82b2583b,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
50,4c111cf640f258b4,True,1.0,1.0,1.0,1.0,0.6295814066797393,1.0,1.0,1.0,1.0,0.8842441895874185
51,290a914d4ef15443,True,1.0,1.0,1.0,1.0,0.604310737159666,1.0,1.0,1.0,,0.8586824061284523
52,fa16987e17c25356,True,1.0,1.0,1.0,1.0,0.6384294910898846,1.0,1.0,1.0,1.0,0.8870092159655889
53,03c0cf33d2105598,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,18b76ccc45d25f5c,True,1.0,1.0,1.0,1.0,0.9544284718925594,1.0,1.0,1.0,0.0,0.8607588974664249
55,e63c18e2bcfa5526,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.875
56,74f87045b75156f4,True,1.0,1.0,1.0,1.0,0.5172306167141868,1.0,1.0,1.0,1.0,0.8491345677231834
57,f7b170baa6bd5b95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,734ef653644c55b9,True,1.0,1.0,1.0,1.0,0.9775951940878864,1.0,1.0,1.0,0.0,0.8679984981524644
59,da6bafca1d9f5b58,True,1.0,1.0,1.0,1.0,0.32488086599526955,1.0,1.0,1.0,,0.7588860235697391
60,07fb7a73409e53cf,True,1.0,1.0,1.0,1.0,0.6380315583644799,1.0,1.0,1.0,0.0,0.7618848619888999
61,e0388cc13b635cd7,True,1.0,1.0,1.0,1.0,0.7301163770020801,1.0,1.0,1.0,1.0,0.91566136781315
62,c093d999a01c5e92,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,ffb2d865d42e57c0,True,0.5,0.0,1.0,1.0,0.7250326534210146,1.0,1.0,1.0,0.0,0.0
64,1bd8492a6487562f,True,1.0,1.0,1.0,1.0,0.6474138686954525,1.0,1.0,1.0,0.0,0.7648168339673289
65,d45773d48e4f5fb7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,47fdf7c04b155eac,True,1.0,1.0,1.0,1.0,0.729827490176568,1.0,1.0,1.0,0.0,0.7905710906801775
67,23ee145aa4de582b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
68,9a23e7bc52e657c3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,4c775cb227b0519d,True,1.0,1.0,1.0,1.0,0.7784144336290358,1.0,1.0,1.0,,0.9208622977246558
70,d0fc0e92a9e4552f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
71,646244aaa99d5c9c,True,0.5,0.0,0.5,1.0,0.9502081050934192,0.0,1.0,1.0,0.0,0.0
