,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,6894aab92b0058dd,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1,e917a198bd9757a4,True,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2,d6fc32608ecc581c,True,1.0,1.0,1.0,1.0,0.2976124224519939,1.0,1.0,1.0,0.0,0.6555038820162481
3,ac0fb7997f4e5106,True,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0
4,431ae29947e95c26,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
5,ab2b84d310be5bed,True,1.0,0.0,0.5,1.0,0.13445811491206025,1.0,1.0,0.0,0.0,0.0
6,4606b66d9fe75354,True,1.0,1.0,1.0,1.0,0.24739326903901182,1.0,1.0,1.0,0.0,0.6398103965746912
7,e96f254899095cf1,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
8,cddadd26002959f4,True,0.0,0.0,0.5,1.0,0.2033745290287301,0.0,1.0,0.0,0.0,0.0
9,901722c88ebf50ea,True,0.0,1.0,1.0,1.0,0.24971049597930972,0.0,1.0,0.0,0.0,0.0
10,5d3e45ad38ef5b9c,True,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
11,812464919a4f5362,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
12,f2280f25f98852c0,True,1.0,1.0,1.0,1.0,0.4819539803514328,1.0,1.0,1.0,0.0,0.7131106188598227
13,f6195258cc20552f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
14,5997813b7cc55036,True,1.0,1.0,1.0,1.0,0.8379116607882642,1.0,1.0,1.0,0.0,0.8243473939963326
15,b9c8a72571a85792,True,0.0,0.0,1.0,1.0,0.9398521521115264,0.0,1.0,1.0,1.0,0.0
16,1f0f883695f05e6c,True,1.0,1.0,1.0,1.0,0.4210594496386148,1.0,1.0,1.0,0.0,0.6940810780120671
17,135ae32b6edc55c5,True,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0
18,2c67391395c65d6a,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
19,473a047c10f45ef3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
20,6370add5182e51b7,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0
21,6280a12d79b4518a,True,0.5,0.0,1.0,1.0,0.9563865231073508,0.0,1.0,1.0,1.0,0.0
22,a371624958cb52ea,True,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0
23,5f2c3f928abe5f5b,True,1.0,1.0,1.0,1.0,0.6701575233919795,1.0,1.0,1.0,0.0,0.7719242260599937
24,91ae20bf459859fe,True,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.125
25,93c36f72811852d3,True,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
26,14d171fcb9295596,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
27,24d02c4c2a325f01,True,1.0,0.0,1.0,1.0,0.9499318519102741,1.0,1.0,1.0,1.0,0.0
28,c48cfa7c240d5808,True,1.0,1.0,1.0,1.0,0.5239231925770901,1.0,1.0,1.0,0.0,0.7262259976803407
29,e8f5c2714bfe5213,True,0.0,0.0,0.0,1.0,0.959030128670159,0.0,1.0,1.0,1.0,0.0
30,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
31,ed98a4566ea95092,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
32,4020785f2bf55d0b,True,1.0,1.0,1.0,1.0,0.7116681724559418,1.0,0.0,1.0,1.0,0.7848963038924819
33,808e5edcddce51c3,True,0.0,1.0,1.0,1.0,0.3988013073881468,0.0,1.0,0.0,0.0,0.0
34,0c318d7923d15b78,True,1.0,1.0,1.0,1.0,0.8308924322584704,1.0,1.0,1.0,,0.9396044400923109
35,d5407856a57357ce,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
36,435eadb0f1fe5b49,True,1.0,0.0,1.0,1.0,0.49777101998657086,0.0,1.0,0.0,0.0,0.0
37,83fd1c194c0c5441,True,1.0,1.0,1.0,1.0,0.9859482600001923,1.0,1.0,1.0,,0.9949815214286402
38,a25711b4fdcc50df,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
39,c9b12b21fa7c57fd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.8571428571428571
40,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,0.8961968343205625,1.0,1.0,1.0,0.0,0.8425615107251758
41,453bdd4f77af5c90,True,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
42,d9fdaff6c17659bc,True,1.0,1.0,1.0,1.0,0.660896520640836,1.0,1.0,1.0,1.0,0.8940301627002613
43,0b5b1309df2f5627,True,1.0,0.0,1.0,1.0,0.3100410310263163,1.0,1.0,0.0,0.0,0.0
44,1e241714a35658ff,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
45,45e8b10f95925c47,True,0.5,0.0,1.0,1.0,0.9904665289260456,0.0,1.0,1.0,1.0,0.0
46,014369205e025f0c,True,1.0,1.0,1.0,1.0,0.7332096305720689,1.0,1.0,1.0,1.0,0.9166280095537715
47,08e8092f5e66571f,True,1.0,1.0,1.0,1.0,0.6841730540680891,1.0,1.0,1.0,0.0,0.7763040793962779
48,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
49,ff5e13b14d735e52,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
50,5a4709a2348f58a7,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
51,91defa409f0254d5,True,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
52,412e722526585e4a,True,1.0,1.0,1.0,1.0,0.41170390568468124,1.0,1.0,1.0,0.0,0.6911574705264629
53,31cda9ad4b8257b9,True,1.0,1.0,1.0,1.0,0.49067534011836583,1.0,1.0,1.0,0.0,0.7158360437869893
54,e805310ff3055efa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
55,e57f09cee57d5ee1,True,1.0,1.0,1.0,1.0,0.9348467268619906,1.0,1.0,1.0,1.0,0.9796396021443721
56,868b74972b4c59fd,True,1.0,1.0,1.0,1.0,0.868001069565681,1.0,1.0,1.0,0.0,0.8337503342392754
57,34f30283d3bd53ec,True,1.0,1.0,1.0,1.0,0.8986311777707212,1.0,1.0,1.0,,0.963796849203829
58,6884907db45c5cad,True,0.0,0.0,1.0,1.0,0.9957437466193921,0.0,1.0,1.0,1.0,0.0
59,24567f5ad57455c4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
60,2087ff145dae502d,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
61,661cdcf44ebe5c68,True,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
62,80ae73dfb4c45e8d,True,1.0,0.0,1.0,1.0,0.9271095336010327,1.0,1.0,1.0,1.0,0.0
63,260c9a75f6e05785,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
