,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,5997813b7cc55036,True,1.0,1.0,1.0,1.0,0.6857398937896132,1.0,1.0,1.0,0.0,0.7767937168092541
1,868b74972b4c59fd,True,1.0,1.0,1.0,1.0,0.6862253067463824,1.0,1.0,1.0,0.0,0.7769454083582445
2,2c67391395c65d6a,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
3,24567f5ad57455c4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
4,1f0f883695f05e6c,True,1.0,1.0,1.0,1.0,0.5832313483940508,1.0,1.0,1.0,1.0,0.8697597963731409
5,4020785f2bf55d0b,True,1.0,1.0,1.0,1.0,0.36322778285599155,1.0,0.0,1.0,0.0,0.5510086821424973
6,c48cfa7c240d5808,True,1.0,1.0,1.0,1.0,0.7875086058848934,1.0,1.0,1.0,0.0,0.8085964393390291
7,91defa409f0254d5,True,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8,08e8092f5e66571f,True,1.0,1.0,1.0,1.0,0.6910031989653403,1.0,1.0,1.0,1.0,0.9034384996766689
9,ff5e13b14d735e52,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
10,431ae29947e95c26,True,1.0,1.0,1.0,1.0,0.7812343306384765,1.0,1.0,1.0,,0.9218694037994559
11,2087ff145dae502d,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12,ab2b84d310be5bed,True,1.0,1.0,1.0,1.0,0.41502889394538517,1.0,1.0,1.0,0.0,0.6921965293579329
13,453bdd4f77af5c90,True,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
14,d5407856a57357ce,True,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0
15,2a8b9c88615450a8,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16,661cdcf44ebe5c68,True,0.5,0.0,1.0,1.0,0.9753990599797645,1.0,1.0,1.0,1.0,0.0
17,24d02c4c2a325f01,True,1.0,0.0,1.0,1.0,0.9292927969075784,1.0,1.0,1.0,1.0,0.0
18,4b594a8e80915943,True,1.0,1.0,1.0,1.0,0.9411300580677578,1.0,1.0,1.0,,0.9789750207384849
19,210e056a17d1522d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,5a4709a2348f58a7,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
21,135ae32b6edc55c5,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0
22,c9b12b21fa7c57fd,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0
23,4606b66d9fe75354,True,1.0,1.0,1.0,1.0,0.5855871103834216,1.0,1.0,1.0,1.0,0.8704959719948193
24,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
25,14d171fcb9295596,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
26,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0b5b1309df2f5627,True,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
28,a371624958cb52ea,True,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0
