,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,5997813b7cc55036,True,1.0,1.0,1.0,1.0,0.7475008483660481,1.0,1.0,1.0,0.0,0.79609401511439
1,5f2c3f928abe5f5b,True,1.0,1.0,1.0,1.0,0.726768164963752,1.0,0.0,1.0,0.0,0.6646150515511725
2,210e056a17d1522d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,221199c4bcef5e62,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,cddadd26002959f4,True,0.0,1.0,1.0,1.0,0.24225362993603705,0.0,0.0,0.0,0.0,0.0
5,2087ff145dae502d,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2a8b9c88615450a8,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
7,2c67391395c65d6a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
8,a25711b4fdcc50df,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,a371624958cb52ea,True,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0
10,453bdd4f77af5c90,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,f2280f25f98852c0,True,0.0,1.0,1.0,1.0,0.3368572093724366,0.0,1.0,0.0,0.0,0.0
12,1e241714a35658ff,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,23d70775af9754e8,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
14,f10d0ad9103c5495,True,0.5,0.0,1.0,1.0,0.9389440687439352,0.0,1.0,1.0,1.0,0.0
15,52de85cf514f5afd,True,0.0,0.0,0.0,1.0,0.9740837235005629,0.0,1.0,1.0,1.0,0.0
16,808e5edcddce51c3,True,0.0,1.0,1.0,1.0,0.3783368180978462,1.0,1.0,1.0,0.0,0.0
17,431ae29947e95c26,True,1.0,1.0,1.0,1.0,0.8408387060235235,1.0,1.0,1.0,,0.943156680722687
18,6370add5182e51b7,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0
19,31cda9ad4b8257b9,True,0.0,1.0,1.0,1.0,0.3743867461984518,0.0,1.0,0.0,0.0,0.0
20,e917a198bd9757a4,True,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0
21,91ae20bf459859fe,True,0.0,0.0,1.0,1.0,0.4905218704108696,0.0,1.0,0.0,0.0,0.0
22,24d02c4c2a325f01,True,1.0,0.0,1.0,1.0,0.930310355608551,1.0,1.0,1.0,1.0,0.0
23,473a047c10f45ef3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,5ee6f86b7dec5484,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
25,e57f09cee57d5ee1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,5d3e45ad38ef5b9c,True,0.5,0.0,1.0,1.0,0.969056313933462,0.0,1.0,1.0,,0.0
27,6884907db45c5cad,True,0.0,0.0,0.5,1.0,0.9465273553044865,0.0,1.0,1.0,1.0,0.0
28,ab2b84d310be5bed,True,1.0,0.0,1.0,1.0,0.3947369185530469,1.0,1.0,0.0,0.0,0.0
29,24567f5ad57455c4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
30,d6fc32608ecc581c,True,1.0,1.0,1.0,1.0,0.4629123772995026,1.0,1.0,1.0,0.0,0.7071601179060946
31,812464919a4f5362,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,ac0fb7997f4e5106,True,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0
33,ed98a4566ea95092,True,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0
34,ff5e13b14d735e52,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
