,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,6884907db45c5cad,True,1.0,0.0,1.0,1.0,0.9749653821611725,1.0,1.0,1.0,1.0,0.0
1,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,0.5740505031601326,1.0,1.0,1.0,1.0,0.8668907822375415
2,0c318d7923d15b78,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
3,31cda9ad4b8257b9,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
4,52de85cf514f5afd,True,0.0,0.0,1.0,1.0,0.9419225153411123,0.0,1.0,1.0,1.0,0.0
5,473a047c10f45ef3,True,0.0,1.0,1.0,1.0,0.31482499652022405,1.0,1.0,1.0,1.0,0.0
6,a371624958cb52ea,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0
7,2087ff145dae502d,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
8,4b594a8e80915943,True,1.0,1.0,1.0,1.0,0.8237161457471662,1.0,1.0,1.0,,0.9370414806239881
9,ac0fb7997f4e5106,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10,210e056a17d1522d,True,1.0,1.0,1.0,1.0,0.6289691373937468,1.0,1.0,1.0,1.0,0.8840528554355459
11,812464919a4f5362,True,1.0,1.0,1.0,1.0,0.979310657336724,1.0,1.0,1.0,1.0,0.9935345804177262
12,93c36f72811852d3,True,1.0,0.0,1.0,1.0,0.9336392048251544,1.0,1.0,1.0,1.0,0.0
13,661cdcf44ebe5c68,True,1.0,1.0,1.0,1.0,0.9412529424844375,1.0,1.0,1.0,1.0,0.9816415445263866
14,35f226ec4cac52fc,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
15,4020785f2bf55d0b,True,1.0,1.0,1.0,1.0,0.7406025415224264,1.0,0.0,1.0,1.0,0.7939382942257582
16,08e8092f5e66571f,True,1.0,1.0,1.0,1.0,0.9065433237489339,1.0,1.0,1.0,1.0,0.9707947886715418
17,c48cfa7c240d5808,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,901722c88ebf50ea,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
19,1f0f883695f05e6c,True,1.0,1.0,1.0,1.0,0.8314829266982257,1.0,1.0,1.0,1.0,0.9473384145931956
20,5ee6f86b7dec5484,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
21,534431abbbd75d4f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
22,45e8b10f95925c47,True,1.0,0.0,1.0,1.0,0.9390433182808915,1.0,1.0,1.0,1.0,0.0
23,5a4709a2348f58a7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
24,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,0.23145494502859246,1.0,1.0,1.0,1.0,0.7598296703214351
25,34f30283d3bd53ec,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0
26,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,0.07579359233321399,1.0,1.0,1.0,,0.6699262829761479
27,974a70027f8f593c,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
28,6280a12d79b4518a,True,1.0,0.0,1.0,1.0,0.9301366063736456,1.0,1.0,1.0,1.0,0.0
29,c9b12b21fa7c57fd,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
30,260c9a75f6e05785,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
31,d9fdaff6c17659bc,True,1.0,1.0,1.0,1.0,0.7855546275589333,1.0,1.0,1.0,1.0,0.9329858211121667
32,6370add5182e51b7,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
33,23d70775af9754e8,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
34,f2280f25f98852c0,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
35,435eadb0f1fe5b49,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
36,e917a198bd9757a4,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
37,6894aab92b0058dd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
38,5f2c3f928abe5f5b,True,1.0,1.0,1.0,1.0,0.7998249148488693,1.0,1.0,1.0,1.0,0.9374452858902717
39,e57f09cee57d5ee1,True,1.0,1.0,1.0,1.0,0.548137312993071,1.0,1.0,1.0,1.0,0.8587929103103347
40,2a8b9c88615450a8,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
41,ab2b84d310be5bed,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
42,221199c4bcef5e62,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6875
43,cddadd26002959f4,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
44,d5407856a57357ce,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
45,b9c8a72571a85792,True,1.0,0.0,1.0,1.0,0.9263989424568109,1.0,1.0,1.0,1.0,0.0
46,2c67391395c65d6a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
47,f10d0ad9103c5495,True,0.5,0.0,1.0,1.0,0.9502935880664573,1.0,1.0,1.0,1.0,0.0
48,24567f5ad57455c4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
49,4606b66d9fe75354,True,1.0,1.0,1.0,1.0,0.17912449220200083,1.0,1.0,1.0,1.0,0.7434764038131252
50,135ae32b6edc55c5,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
51,412e722526585e4a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
52,e96f254899095cf1,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
53,e8f5c2714bfe5213,True,1.0,1.0,1.0,1.0,0.951730151248478,1.0,1.0,1.0,1.0,0.9849156722651493
54,ed98a4566ea95092,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
55,2e21fba9a22851ae,True,0.0,1.0,1.0,1.0,0.12250558428518409,1.0,1.0,1.0,1.0,0.0
56,1e241714a35658ff,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6875
57,ff5e13b14d735e52,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
58,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6875
59,431ae29947e95c26,True,1.0,1.0,1.0,1.0,0.1058356885195495,1.0,1.0,1.0,,0.6806556030426962
60,0b5b1309df2f5627,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
61,91defa409f0254d5,True,1.0,1.0,1.0,1.0,0.9710082957903631,1.0,1.0,1.0,0.0,0.8659400924344884
62,f6195258cc20552f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
63,3e5bb75bed1d58ad,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
64,a25711b4fdcc50df,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,83fd1c194c0c5441,True,1.0,1.0,1.0,1.0,0.9226417286510884,1.0,1.0,1.0,,0.9723720459468173
66,24d02c4c2a325f01,True,1.0,0.0,1.0,1.0,0.9230987056160801,1.0,1.0,1.0,1.0,0.0
67,5997813b7cc55036,True,1.0,1.0,1.0,1.0,0.46721777238691836,1.0,1.0,1.0,1.0,0.833505553870912
68,f587b097f5f65db6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
