,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,ab2b84d310be5bed,True,0.0,1.0,1.0,1.0,0.2684427337618173,0.0,1.0,0.0,0.0,0.0
1,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,93c36f72811852d3,True,1.0,0.0,1.0,1.0,0.9408251730706343,1.0,1.0,1.0,1.0,0.0
3,f2280f25f98852c0,True,0.0,1.0,1.0,1.0,0.32315838375326705,0.0,1.0,0.0,0.0,0.0
4,812464919a4f5362,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5a4709a2348f58a7,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
6,1e241714a35658ff,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,473a047c10f45ef3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,6884907db45c5cad,True,0.0,0.0,0.0,1.0,0.9592996145721379,0.0,1.0,1.0,1.0,0.0
9,cddadd26002959f4,True,0.0,1.0,1.0,1.0,0.3651508763351837,0.0,1.0,0.0,0.0,0.0
10,24d02c4c2a325f01,True,1.0,0.0,1.0,1.0,0.9137918420725908,1.0,1.0,1.0,1.0,0.0
11,974a70027f8f593c,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
12,6370add5182e51b7,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13,5997813b7cc55036,True,1.0,1.0,1.0,1.0,0.6588895239790583,1.0,1.0,1.0,0.0,0.7684029762434557
14,b9c8a72571a85792,True,0.0,0.0,1.0,1.0,0.9334992431642065,0.0,1.0,1.0,1.0,0.0
15,5d3e45ad38ef5b9c,True,0.5,0.0,1.0,1.0,0.9286477393052474,0.0,1.0,1.0,,0.0
16,35f226ec4cac52fc,True,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0
17,a371624958cb52ea,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0
18,d5407856a57357ce,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
19,412e722526585e4a,True,1.0,1.0,1.0,1.0,0.4323295031609308,1.0,1.0,1.0,0.0,0.6976029697377909
20,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,0.8613940785917055,1.0,1.0,1.0,1.0,0.956685649559908
21,f587b097f5f65db6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
22,e57f09cee57d5ee1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,d9fdaff6c17659bc,True,1.0,1.0,1.0,1.0,0.3920910144045625,1.0,1.0,1.0,0.0,0.6850284420014258
24,83fd1c194c0c5441,True,1.0,1.0,1.0,1.0,0.7286480318174208,1.0,1.0,1.0,,0.9030885827919359
25,91defa409f0254d5,True,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
26,221199c4bcef5e62,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,23d70775af9754e8,True,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
28,4020785f2bf55d0b,True,1.0,1.0,1.0,1.0,0.37026362217344266,1.0,0.0,1.0,0.0,0.5532073819292008
29,6894aab92b0058dd,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
30,453bdd4f77af5c90,True,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
31,260c9a75f6e05785,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
32,ac0fb7997f4e5106,True,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0
33,901722c88ebf50ea,True,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34,a25711b4fdcc50df,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
35,661cdcf44ebe5c68,True,0.5,0.0,1.0,1.0,0.9484482344842503,0.0,1.0,1.0,1.0,0.0
36,08e8092f5e66571f,True,1.0,1.0,1.0,1.0,0.6250327829651262,1.0,1.0,1.0,1.0,0.8828227446766019
37,808e5edcddce51c3,True,0.0,1.0,1.0,1.0,0.33054142259109986,0.0,0.0,0.0,0.0,0.0
38,52de85cf514f5afd,True,0.0,0.0,0.0,1.0,0.9463643641924234,0.0,1.0,1.0,1.0,0.0
