,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,61232ab3e2085282,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,135ae32b6edc55c5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0af464147919575d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
3,12af1e0adcb65df9,True,1.0,1.0,1.0,1.0,0.6522165567298199,1.0,1.0,1.0,0.0,0.7663176739780687
4,d9fdaff6c17659bc,True,1.0,1.0,1.0,1.0,0.7810893264434398,1.0,1.0,1.0,1.0,0.9315904145135749
5,a6fd750fe57d5bb9,True,1.0,1.0,1.0,1.0,0.5344432753935546,1.0,1.0,1.0,1.0,0.8545135235604858
6,45878940b52550ea,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
7,9d87610ffed85509,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,d77a9c90baf35d87,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,8b3423345f3657b0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
11,2928cfbed3d15000,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
12,221199c4bcef5e62,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,ac45c0d29f1e5d76,True,1.0,1.0,1.0,1.0,0.8997361473516315,1.0,1.0,1.0,1.0,0.9686675460473848
14,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0b5b1309df2f5627,True,1.0,1.0,1.0,1.0,0.5282687600369619,1.0,1.0,1.0,1.0,0.8525839875115506
16,d45773d48e4f5fb7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,4b5fd21bc8bd5a8b,True,1.0,1.0,1.0,1.0,0.5948857450475743,1.0,1.0,1.0,0.0,0.748401795327367
18,75f9d978b4d757a2,True,1.0,1.0,1.0,1.0,0.36936047517509957,1.0,1.0,1.0,0.0,0.6779251484922186
19,552fd48bfce35a20,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
20,e5b0b2c83a395163,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5
21,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
22,61e0ce212ed75a50,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23,b191eb9b8de25005,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
24,85b1968fa2fd5552,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0
25,c9b12b21fa7c57fd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
26,d44e6abed19b5ba5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
27,f7103dfe59a959be,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,a371624958cb52ea,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
29,812464919a4f5362,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
30,8db7275969855f22,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
31,064018bfafb05f56,True,1.0,0.0,1.0,1.0,0.9239396089182605,1.0,1.0,1.0,0.0,0.0
32,4158d702c66351d4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,4b594a8e80915943,True,1.0,1.0,1.0,1.0,0.8471117028742652,1.0,1.0,1.0,,0.9453970367408091
34,e917a198bd9757a4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,a76311c957b05f8c,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
36,b23f49937a48507e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
37,2115792748a75f88,True,1.0,0.0,1.0,1.0,0.8210156358993821,1.0,1.0,1.0,1.0,0.0
38,5876e4def8615813,True,1.0,1.0,1.0,1.0,0.6789201044220868,1.0,1.0,1.0,0.0,0.7746625326319021
39,1e241714a35658ff,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,c4f21fef5b86535b,True,1.0,1.0,1.0,1.0,0.8858649014708808,1.0,1.0,1.0,1.0,0.9643327817096503
41,5f3fbfc334c0579c,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
42,2e21fba9a22851ae,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
