,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,1d3700dc6c9950e0,True,0.5,0.0,0.5,1.0,0.09926297812200865,0.0,0.0,0.0,0.0,0.0
1,260c9a75f6e05785,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2,d715fbc6ea0551f8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
3,34f30283d3bd53ec,True,1.0,1.0,1.0,1.0,0.6807124400406871,1.0,1.0,1.0,,0.8859687285859597
4,87751a071a7e50a4,True,1.0,0.0,1.0,1.0,0.9358802345713909,1.0,1.0,1.0,0.0,0.0
5,fe800ded24045b44,True,1.0,1.0,1.0,1.0,0.8384652726482876,1.0,1.0,1.0,,0.942309025945817
6,5066b57b01cb56ec,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
7,44062179c5b350bc,True,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
8,8b3423345f3657b0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
9,e8f5c2714bfe5213,True,0.0,0.0,0.0,1.0,0.9966104964099859,0.0,1.0,1.0,1.0,0.0
10,b6968f154bfb5a5d,True,1.0,1.0,1.0,1.0,0.5630956938222693,1.0,1.0,1.0,,0.8439627477936676
11,a6fd750fe57d5bb9,True,1.0,0.0,1.0,1.0,0.47111922908050485,1.0,0.0,1.0,0.0,0.0
12,c50b9b8950ba5347,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
13,85b1968fa2fd5552,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0
14,9f97b9c20ffc50b5,True,0.0,0.0,1.0,1.0,0.3783232497047873,0.0,1.0,0.0,0.0,0.0
15,8d9d0d3caa9b5905,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16,20f825e0d33a5160,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
17,4ccc9e33aa795ef1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
18,0a51eebaccc95c36,True,1.0,1.0,1.0,1.0,0.44874608648282677,1.0,1.0,1.0,0.0,0.7027331520258834
19,c81b474102d75351,True,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20,455fdf27af915de2,True,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
21,2313aa310e16503d,True,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,0.0
22,f0455664b24358a7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,0af464147919575d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
24,2c67391395c65d6a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
25,5997813b7cc55036,True,1.0,1.0,1.0,1.0,0.7962648619241542,1.0,1.0,1.0,0.0,0.8113327693512982
26,14d171fcb9295596,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
27,97fcdcd35af7563b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,59e4fc5b37f55556,True,1.0,1.0,1.0,1.0,0.7106360741794514,1.0,1.0,1.0,0.0,0.7845737731810786
29,5b21d7acaa545a46,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
30,7fb4ab2c7e8c527f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,10ffaee1fe81544d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,91defa409f0254d5,True,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
33,47bc25abb0705dc9,True,0.0,0.0,1.0,1.0,0.006460550002695572,0.0,1.0,0.0,0.0,0.0
34,e1f6c044f4235462,True,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,88642e4f16be55bd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
36,6280a12d79b4518a,True,0.5,0.0,1.0,1.0,0.9835030443136177,0.0,1.0,1.0,1.0,0.0
37,59a1d448fbdf53f6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
38,19efcf474dd85579,True,1.0,1.0,1.0,1.0,0.8510428824917259,1.0,1.0,1.0,1.0,0.9534509007786643
39,4c775cb227b0519d,True,1.0,1.0,1.0,1.0,0.557307425034948,1.0,1.0,1.0,,0.8418955089410528
40,c4b1d4fabd315035,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
41,1f0f883695f05e6c,True,1.0,1.0,1.0,1.0,0.5340376690806564,1.0,1.0,1.0,0.0,0.7293867715877052
42,dc8fc926ef0451f1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
43,090af86f693c507b,True,1.0,1.0,1.0,1.0,0.6112364107477866,1.0,1.0,1.0,,0.8611558609813523
44,4a4ce3ba90ad5614,True,0.5,0.0,1.0,1.0,0.27089548926519175,0.0,1.0,0.0,,0.0
45,0ee1f95f55d95f7e,True,1.0,1.0,1.0,1.0,0.4094090618631371,1.0,1.0,0.0,,0.6462175220939775
46,e7d1f889fc4d5309,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.875
47,0442b2728b8058fd,True,1.0,1.0,1.0,1.0,0.44612622407402036,1.0,1.0,0.0,0.0,0.5769144450231314
48,0f65bd2bac90534a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
49,d6641a8596f25d47,True,1.0,0.0,1.0,1.0,0.8845500574910934,1.0,1.0,1.0,0.0,0.0
50,4158d702c66351d4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,892904870078578a,True,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
52,f1dabe118a6955d6,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
53,0c77bbb199f3589f,True,1.0,1.0,1.0,1.0,0.5580600904124073,1.0,1.0,1.0,,0.8421643180044313
54,ac0fb7997f4e5106,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
55,242d17bd2af15992,True,0.0,0.0,1.0,1.0,0.14557611360893458,0.0,0.0,0.0,0.0,0.0
56,55a584a116ec5e6d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,daf715295e7d576b,True,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
58,b9c8a72571a85792,True,0.0,0.0,1.0,1.0,0.9426708742524156,0.0,1.0,1.0,1.0,0.0
59,6884907db45c5cad,True,0.0,0.0,0.0,1.0,0.9710614942000528,0.0,1.0,1.0,1.0,0.0
60,fca1702dec8a50c6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
61,de31419c6502517b,True,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
62,8560e670c7865e3f,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
63,3d17efc5625f5c4f,True,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
64,a0e9cbedca0a56b7,True,1.0,1.0,1.0,1.0,0.9518089080294242,1.0,1.0,1.0,,0.9827888957247943
65,bc42935ebf1854f6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
66,d44e6abed19b5ba5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
67,ea90773e4a7c5723,True,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
68,026e7b1e0e335625,True,1.0,1.0,1.0,1.0,0.4047063267207931,1.0,1.0,1.0,0.0,0.6889707271002479
69,8ee3467219fc5c8a,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,9215555823945665,True,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
71,80ae73dfb4c45e8d,True,1.0,0.0,1.0,1.0,0.9373026422923887,1.0,1.0,1.0,1.0,0.0
