,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,82cd122751085a80,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0af464147919575d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,3a8a3a691f4450b5,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
3,197f2dea642850e7,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
4,8d83f07bed9d5f6a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
5,2055bd0e7a885e4a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
6,fe71d216396c5ab3,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
7,21146ac996365854,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
8,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
9,974a70027f8f593c,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
10,5066b57b01cb56ec,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,dc95b5731cc359f3,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
12,d715fbc6ea0551f8,True,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
13,5975a1af11e25fe4,True,0.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0
14,5997813b7cc55036,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,74df9f9decc45b84,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,899ed9ca42d750c6,True,1.0,1.0,1.0,1.0,0.7565947496364283,1.0,1.0,1.0,1.0,0.9239358592613838
17,455fdf27af915de2,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
18,1d3700dc6c9950e0,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,9f97b9c20ffc50b5,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
20,85b1968fa2fd5552,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
21,ab2b84d310be5bed,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
22,fca1702dec8a50c6,True,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,24d02c4c2a325f01,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5625
24,4ccc9e33aa795ef1,True,1.0,1.0,1.0,1.0,0.7653264127076344,1.0,1.0,1.0,,0.9161880045384408
25,ed02d0df47ca55e7,True,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
26,490475b585895e0e,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
27,892904870078578a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
28,c4f21fef5b86535b,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
29,e805310ff3055efa,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
30,30f09e001cf55013,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
31,0f97d412a94255ac,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
32,75f9d978b4d757a2,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
33,1983aff496265a16,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
34,9c1e8e69c7cd537b,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
35,33b379cc74255b15,True,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
36,69610203b8c35c96,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,a3a47ea11a5e5939,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,,0.0
38,090af86f693c507b,True,1.0,1.0,1.0,1.0,0.5324787809946366,1.0,1.0,1.0,,0.833028136069513
39,3e1dd9067b365a42,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
40,d5407856a57357ce,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
41,e41f13ed67485c54,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
42,6e821a856fe45177,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,a6fd750fe57d5bb9,True,0.5,0.0,0.0,1.0,0.9110962333005171,0.0,0.0,1.0,1.0,0.0
44,4a71a24c376f5388,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
45,c50b9b8950ba5347,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,,0.0
46,c8df3a922f9d5550,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
47,f02b15cc225b5d9a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0
48,c4d424c8f74e5b70,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
49,19488eb3301f5d26,True,0.0,0.0,1.0,0.0,0.6177171465678563,0.0,1.0,1.0,,0.0
50,026e7b1e0e335625,True,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
51,c96b4de8d3d55287,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
52,2c67391395c65d6a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
53,54e1cb577c0a5f7e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
54,2b5d551f5466530e,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
55,0b5b1309df2f5627,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
56,0442b2728b8058fd,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
57,c48cfa7c240d5808,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
58,6fed9368351f54d5,True,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
59,a1665c3aeb8f551f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,d8effdc24c235d3f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,e0388cc13b635cd7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,d44e6abed19b5ba5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,76ec850d346b5ca7,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
64,260c9a75f6e05785,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
65,85c5f81a8dec5628,True,1.0,0.0,0.0,1.0,0.8296239282919164,1.0,0.0,1.0,1.0,0.0
66,e917a198bd9757a4,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
67,2087ff145dae502d,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
68,de28290571ec523a,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
69,2eb2bc9d3b35584f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
70,ebfb953d479d5982,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0
71,db180d0c665454aa,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
72,70d3c6183c525745,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,0a51eebaccc95c36,True,1.0,0.0,1.0,1.0,0.7322576160703885,1.0,1.0,1.0,1.0,0.0
74,cddadd26002959f4,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
75,9215555823945665,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
76,d9fdaff6c17659bc,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
77,e1f6c044f4235462,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
78,1893fb783df95146,True,1.0,0.0,0.5,1.0,0.9239822631461756,1.0,1.0,1.0,0.0,0.0
79,5dae1d43c2e55113,True,0.5,0.0,0.0,1.0,0.9085534593749199,0.0,0.0,1.0,1.0,0.0
80,c86e7d3c0dfb57bd,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
81,2c0e25d51b0b5e31,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
82,7fcd3691c57b5f49,True,1.0,1.0,1.0,1.0,0.9947809343833179,1.0,1.0,0.0,1.0,0.8733690419947868
83,11094634534c53fd,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
84,b354451e4f8859f9,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
85,fae990c38c515aa9,True,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
86,c79b2a28285f5e11,True,0.0,0.0,1.0,1.0,0.7687370529498498,0.0,1.0,1.0,,0.0
87,868b74972b4c59fd,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
88,ab6e020759565f9f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
89,ac0fb7997f4e5106,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
90,6884907db45c5cad,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,97fcdcd35af7563b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,8db7275969855f22,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
93,23d70775af9754e8,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
94,55a584a116ec5e6d,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
95,153af25086535f35,True,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
96,f6195258cc20552f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
97,dc8fc926ef0451f1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
98,61e0ce212ed75a50,True,1.0,0.0,0.0,1.0,0.9829225756139902,1.0,1.0,1.0,0.0,0.0
99,014369205e025f0c,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
