,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
1,2313aa310e16503d,True,0.5,0.0,0.5,1.0,0.9734757176384214,0.0,1.0,1.0,,0.0
2,135ae32b6edc55c5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,dd9b1479609c5c59,True,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0
4,812464919a4f5362,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,33c925ac7b905e8f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
6,5ae3a0ab54a950d7,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.875
7,2c0e25d51b0b5e31,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
8,69610203b8c35c96,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
9,8d9d0d3caa9b5905,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10,d929120b36a95db5,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
11,6fbe0e06902e5304,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0
12,7fb4ab2c7e8c527f,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,85c5f81a8dec5628,True,1.0,0.0,1.0,1.0,0.8061478004632149,1.0,0.0,1.0,1.0,0.0
14,5975a1af11e25fe4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,3e1dd9067b365a42,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,135b319cf4b1584c,True,0.5,1.0,1.0,1.0,0.9174836129160673,0.0,1.0,1.0,1.0,0.33085681451813553
17,fca1702dec8a50c6,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,6fed9368351f54d5,True,0.5,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0
19,34f30283d3bd53ec,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0
20,d45773d48e4f5fb7,True,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0
21,24d02c4c2a325f01,True,1.0,0.0,0.0,1.0,0.9534810403016073,1.0,0.0,1.0,1.0,0.0
22,490475b585895e0e,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
23,4c775cb227b0519d,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,0.8571428571428571
24,7e5bb23808a850ca,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25,1ceec301ab6552b1,True,1.0,1.0,1.0,1.0,0.6987509398891123,1.0,1.0,1.0,0.0,0.7808596687153476
26,d77a9c90baf35d87,True,1.0,1.0,1.0,1.0,0.8698297890238877,1.0,1.0,1.0,1.0,0.9593218090699649
27,431ae29947e95c26,True,1.0,1.0,1.0,1.0,0.6546789070965766,1.0,1.0,1.0,,0.8766710382487773
28,f962927ff5dc518c,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
29,4ccc9e33aa795ef1,True,1.0,1.0,1.0,1.0,0.7212918323622778,1.0,1.0,1.0,,0.9004613687008135
30,2e21fba9a22851ae,True,1.0,1.0,1.0,1.0,0.9024660185527343,1.0,1.0,1.0,1.0,0.9695206307977295
31,1983aff496265a16,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
32,2dbaea2c3ad8531f,True,1.0,0.0,1.0,1.0,0.7661520585790089,1.0,0.0,1.0,1.0,0.0
33,e7d1f889fc4d5309,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
34,3e5bb75bed1d58ad,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,f1dabe118a6955d6,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
36,6e821a856fe45177,True,1.0,1.0,1.0,1.0,0.9580315024224766,1.0,1.0,1.0,0.0,0.861884844507024
37,54e1cb577c0a5f7e,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,0.8571428571428571
38,0c318d7923d15b78,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,0.8571428571428571
39,9c1e8e69c7cd537b,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
40,e18ca78f3c5f5a04,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
41,616812339ccb533e,True,1.0,1.0,1.0,1.0,0.7902875287401867,1.0,1.0,1.0,1.0,0.9344648527313084
