,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,6370add5182e51b7,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,661cdcf44ebe5c68,True,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2,5d3e45ad38ef5b9c,True,0.5,0.0,1.0,1.0,0.9284492028581383,0.0,1.0,1.0,,0.0
3,2087ff145dae502d,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,5f2c3f928abe5f5b,True,1.0,1.0,1.0,1.0,0.721349766663714,1.0,0.0,1.0,0.0,0.6629218020824106
5,d6fc32608ecc581c,True,0.0,1.0,1.0,1.0,0.23945365867651283,0.0,0.0,0.0,0.0,0.0
6,868b74972b4c59fd,True,1.0,1.0,1.0,1.0,0.4957300476979301,1.0,1.0,1.0,0.0,0.7174156399056032
7,31cda9ad4b8257b9,True,0.0,1.0,1.0,1.0,0.3945835087283337,1.0,1.0,1.0,0.0,0.0
8,453bdd4f77af5c90,True,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
9,d9fdaff6c17659bc,True,1.0,1.0,1.0,1.0,0.4667681110038204,1.0,1.0,1.0,0.0,0.7083650346886938
10,08e8092f5e66571f,True,1.0,1.0,1.0,1.0,0.7386774018307479,1.0,1.0,1.0,1.0,0.9183366880721087
11,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,210e056a17d1522d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,5ee6f86b7dec5484,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
14,ed98a4566ea95092,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
15,23d70775af9754e8,True,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0
16,e96f254899095cf1,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
17,812464919a4f5362,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,5997813b7cc55036,True,1.0,1.0,1.0,1.0,0.6267414155264355,1.0,1.0,1.0,0.0,0.7583566923520111
19,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
20,412e722526585e4a,True,1.0,0.0,1.0,1.0,0.3663383247541047,1.0,1.0,0.0,0.0,0.0
21,e917a198bd9757a4,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
22,135ae32b6edc55c5,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
23,901722c88ebf50ea,True,0.0,1.0,1.0,1.0,0.3541687480222214,0.0,1.0,1.0,0.0,0.0
24,2e21fba9a22851ae,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
25,3e5bb75bed1d58ad,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
