,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,f10d0ad9103c5495,True,0.5,0.0,1.0,1.0,0.9328632308715653,1.0,1.0,1.0,1.0,0.0
1,f6195258cc20552f,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2,4606b66d9fe75354,True,1.0,1.0,1.0,1.0,0.41833798247370224,1.0,1.0,1.0,0.0,0.693230619523032
3,3e5bb75bed1d58ad,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,b9c8a72571a85792,True,0.0,0.0,1.0,1.0,0.9479369894747972,0.0,1.0,1.0,1.0,0.0
5,5ee6f86b7dec5484,True,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6,dc2d59ce7b1258cf,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0
7,ff5e13b14d735e52,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
8,2e21fba9a22851ae,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,c9b12b21fa7c57fd,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
10,901722c88ebf50ea,True,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0
11,6884907db45c5cad,True,1.0,0.0,1.0,1.0,0.9752536777710675,1.0,1.0,1.0,1.0,0.0
12,453bdd4f77af5c90,True,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
13,5997813b7cc55036,True,1.0,1.0,1.0,1.0,0.8109645348565704,1.0,1.0,1.0,0.0,0.8159264171426782
14,e917a198bd9757a4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
15,868b74972b4c59fd,True,1.0,1.0,1.0,1.0,0.6308705509076638,1.0,1.0,1.0,0.0,0.759647047158645
16,5f2c3f928abe5f5b,True,1.0,1.0,1.0,1.0,0.7551417652219938,1.0,1.0,1.0,0.0,0.7984818016318731
17,d5407856a57357ce,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
18,e57f09cee57d5ee1,True,1.0,1.0,1.0,1.0,0.9458106596244608,1.0,1.0,1.0,1.0,0.983065831132644
19,5d3e45ad38ef5b9c,True,0.5,0.0,1.0,1.0,0.9373747840539491,1.0,1.0,1.0,,0.0
20,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
21,1f0f883695f05e6c,True,1.0,1.0,1.0,1.0,0.6610752216817048,1.0,1.0,1.0,1.0,0.8940860067755327
22,412e722526585e4a,True,1.0,0.0,1.0,1.0,0.4097812511422847,1.0,1.0,1.0,0.0,0.0
23,80ae73dfb4c45e8d,True,0.5,0.0,1.0,1.0,0.9338756022336978,1.0,1.0,1.0,1.0,0.0
24,6280a12d79b4518a,True,0.0,0.0,1.0,1.0,0.9862276246030895,0.0,1.0,1.0,1.0,0.0
25,6370add5182e51b7,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0
26,93c36f72811852d3,True,1.0,0.0,1.0,1.0,0.9440637479360333,1.0,1.0,1.0,0.0,0.0
27,23d70775af9754e8,True,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
28,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
29,4b594a8e80915943,True,1.0,1.0,1.0,1.0,0.6659599231778317,1.0,1.0,1.0,,0.8806999725635113
30,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
31,221199c4bcef5e62,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,435eadb0f1fe5b49,True,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
33,812464919a4f5362,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
34,83fd1c194c0c5441,True,1.0,1.0,1.0,1.0,0.82130335897278,1.0,1.0,1.0,,0.9361797710617071
35,cddadd26002959f4,True,0.0,1.0,1.0,1.0,0.2670143650857548,0.0,1.0,0.0,0.0,0.0
36,24d02c4c2a325f01,True,1.0,0.0,1.0,1.0,0.881265744460221,1.0,1.0,1.0,0.0,0.0
37,24567f5ad57455c4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
38,4020785f2bf55d0b,True,1.0,1.0,1.0,1.0,0.40840883953504564,1.0,0.0,1.0,0.0,0.5651277623547017
39,ed98a4566ea95092,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
40,ac0fb7997f4e5106,True,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0
41,0b5b1309df2f5627,True,0.0,0.0,1.0,1.0,0.40019998786626515,0.0,1.0,1.0,0.0,0.0
42,210e056a17d1522d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,14d171fcb9295596,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
44,260c9a75f6e05785,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
45,34f30283d3bd53ec,True,1.0,1.0,1.0,1.0,0.8393203259522691,1.0,1.0,1.0,,0.9426144021258105
46,08e8092f5e66571f,True,1.0,1.0,1.0,1.0,0.7196999363604326,1.0,1.0,1.0,1.0,0.9124062301126352
47,d9fdaff6c17659bc,True,1.0,1.0,1.0,1.0,0.4251425297104128,1.0,1.0,1.0,0.0,0.695357040534504
48,014369205e025f0c,True,1.0,1.0,1.0,1.0,0.7111284749633519,1.0,1.0,1.0,1.0,0.9097276484260475
49,2a8b9c88615450a8,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
50,2c67391395c65d6a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
51,91ae20bf459859fe,True,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,a25711b4fdcc50df,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
53,c48cfa7c240d5808,True,1.0,1.0,1.0,1.0,0.9920991298269998,1.0,1.0,1.0,0.0,0.8725309780709374
54,808e5edcddce51c3,True,0.0,1.0,1.0,1.0,0.3818885017214148,0.0,1.0,0.0,0.0,0.0
55,91defa409f0254d5,True,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
