,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,45878940b52550ea,True,1.0,1.0,1.0,1.0,0.5469504456205413,0.0,1.0,1.0,0.0,0.4209220142564192
1,5dae1d43c2e55113,True,0.5,0.0,0.5,1.0,0.7834021379553227,0.0,0.0,1.0,1.0,0.0
2,56886aeb0f685bea,True,1.0,0.0,1.0,1.0,0.9871642933531111,1.0,1.0,1.0,,0.0
3,135ae32b6edc55c5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,fb0297e3fc9b573e,True,0.0,1.0,1.0,1.0,0.03162320813057718,1.0,1.0,1.0,1.0,0.0
5,6280a12d79b4518a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,a6fd750fe57d5bb9,True,0.5,0.0,0.5,1.0,0.7806962682859927,0.0,0.0,1.0,1.0,0.0
7,3a36b098acee53b9,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
8,dc39ce9c251551bb,True,1.0,1.0,1.0,1.0,0.5160102166340357,1.0,1.0,1.0,0.0,0.7237531926981362
9,4907817195ff5d6f,True,1.0,0.0,1.0,1.0,0.7457081360277527,1.0,0.0,1.0,1.0,0.0
10,a584a676d2b859c7,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,,0.0
11,1df1903e5bcd5036,True,0.5,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0
12,74deabca4e1259f5,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
13,d3badb5f8c125e12,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
14,014369205e025f0c,True,1.0,0.0,1.0,1.0,0.8013742163421934,1.0,1.0,1.0,1.0,0.0
15,5a7633ce22365440,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
16,12d283af921a5f09,True,0.5,0.0,0.0,1.0,0.796157082171088,0.0,1.0,1.0,0.0,0.0
17,5395d42cc65e5c06,True,1.0,0.0,1.0,1.0,0.959683001297287,1.0,1.0,1.0,1.0,0.0
18,1eff566e627f56b9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
19,6884907db45c5cad,True,1.0,1.0,1.0,1.0,0.9951569115900964,1.0,1.0,1.0,1.0,0.9984865348719052
20,cdb932bd30715a52,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
21,1ceec301ab6552b1,True,1.0,1.0,1.0,1.0,0.5057554855823754,1.0,1.0,1.0,0.0,0.7205485892444923
22,e0522da7328d5c9e,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
23,6b5a3fa1663e5a8d,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
24,8a5809217c605979,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
25,23d70775af9754e8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,cd96f8a73c7a5d07,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
27,b5b46d4db32a5d8c,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28,f7103dfe59a959be,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29,b191eb9b8de25005,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
30,d9fdaff6c17659bc,True,1.0,0.0,1.0,1.0,0.7737329811550107,1.0,1.0,1.0,1.0,0.0
31,534e6a7d7e8c528b,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
32,cdb1d43f01565d9c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
33,e5caf6d750415ee7,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
34,ed02d0df47ca55e7,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35,e08a526c85475c4b,True,1.0,1.0,1.0,1.0,0.6419181742921091,1.0,1.0,1.0,0.0,0.7630994294662841
36,2c90fc5cc8905562,True,1.0,0.0,1.0,1.0,0.9041282886464526,1.0,1.0,1.0,1.0,0.0
