,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,1f0f883695f05e6c,True,1.0,0.0,1.0,1.0,0.7926350026701053,1.0,1.0,1.0,1.0,0.0
1,f587b097f5f65db6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,52de85cf514f5afd,True,1.0,1.0,1.0,1.0,0.9816024223686396,1.0,1.0,1.0,0.0,0.8692507569901999
3,868b74972b4c59fd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,ed98a4566ea95092,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4020785f2bf55d0b,True,1.0,0.0,1.0,1.0,0.7852974684335656,1.0,1.0,1.0,1.0,0.0
6,260c9a75f6e05785,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
7,f10d0ad9103c5495,True,0.0,1.0,1.0,1.0,0.9553251268235424,0.0,1.0,1.0,1.0,0.0
8,d6fc32608ecc581c,True,1.0,0.0,1.0,1.0,0.8027330999137916,1.0,1.0,1.0,1.0,0.0
9,6280a12d79b4518a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4606b66d9fe75354,True,1.0,1.0,1.0,1.0,0.09746655979641577,1.0,1.0,1.0,1.0,0.7179582999363799
11,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5625
12,ab2b84d310be5bed,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,83fd1c194c0c5441,True,1.0,0.0,1.0,1.0,0.7640121013589273,1.0,1.0,1.0,,0.0
14,cddadd26002959f4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,14d171fcb9295596,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
16,221199c4bcef5e62,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5625
17,c9b12b21fa7c57fd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
18,08e8092f5e66571f,True,1.0,0.0,1.0,1.0,0.7656333003283868,1.0,1.0,1.0,1.0,0.0
19,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,0.041737437195900354,1.0,1.0,1.0,,0.6577633704271072
20,ac0fb7997f4e5106,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
21,6884907db45c5cad,True,1.0,1.0,1.0,1.0,0.9951569115900964,1.0,1.0,1.0,1.0,0.9984865348719052
22,e57f09cee57d5ee1,True,1.0,1.0,1.0,1.0,0.3876891816522377,1.0,1.0,1.0,1.0,0.8086528692663243
23,812464919a4f5362,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,23d70775af9754e8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,e917a198bd9757a4,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
26,412e722526585e4a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
27,b9c8a72571a85792,True,0.0,1.0,1.0,1.0,0.9638709887186883,0.0,0.0,1.0,1.0,0.0
28,a371624958cb52ea,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
29,31cda9ad4b8257b9,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
30,ff5e13b14d735e52,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
31,93c36f72811852d3,True,0.0,1.0,1.0,1.0,0.9522701731534005,0.0,1.0,1.0,1.0,0.0
32,0c318d7923d15b78,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
33,e805310ff3055efa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,5f2c3f928abe5f5b,True,1.0,0.0,1.0,1.0,0.8012329869341128,1.0,1.0,1.0,1.0,0.0
35,014369205e025f0c,True,1.0,0.0,1.0,1.0,0.8013742163421934,1.0,1.0,1.0,1.0,0.0
36,24567f5ad57455c4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
37,6370add5182e51b7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,24d02c4c2a325f01,True,0.0,1.0,1.0,1.0,0.9525219479752967,0.0,1.0,1.0,1.0,0.0
39,5997813b7cc55036,True,1.0,1.0,1.0,1.0,0.501366793652607,1.0,1.0,1.0,1.0,0.8441771230164397
40,6894aab92b0058dd,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
41,80ae73dfb4c45e8d,True,0.0,1.0,1.0,1.0,0.9539586684179543,0.0,1.0,1.0,1.0,0.0
42,e8f5c2714bfe5213,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,2e21fba9a22851ae,True,0.0,1.0,1.0,1.0,0.21105756206288884,1.0,1.0,1.0,1.0,0.0
44,5d3e45ad38ef5b9c,True,1.0,1.0,1.0,1.0,0.9549105049727289,1.0,1.0,1.0,,0.9838966089188317
45,45e8b10f95925c47,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,d5407856a57357ce,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
47,f6195258cc20552f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
48,91defa409f0254d5,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
49,d9fdaff6c17659bc,True,1.0,0.0,1.0,1.0,0.7737329811550107,1.0,1.0,1.0,1.0,0.0
50,91ae20bf459859fe,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
51,3e5bb75bed1d58ad,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,4b594a8e80915943,True,1.0,1.0,1.0,1.0,0.9473064596427845,1.0,1.0,1.0,,0.9811808784438517
53,f2280f25f98852c0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
54,a25711b4fdcc50df,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
55,c48cfa7c240d5808,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,435eadb0f1fe5b49,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
57,0b5b1309df2f5627,True,1.0,1.0,1.0,1.0,0.9945784308293617,1.0,1.0,1.0,1.0,0.9983057596341756
58,473a047c10f45ef3,True,1.0,1.0,1.0,1.0,0.4077789513921499,1.0,1.0,1.0,0.0,0.6899309223100468
59,210e056a17d1522d,True,1.0,1.0,1.0,1.0,0.31681517157028494,1.0,1.0,1.0,1.0,0.786504741115714
60,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,0.5924284444712017,1.0,1.0,1.0,1.0,0.8726338888972505
61,453bdd4f77af5c90,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
62,5ee6f86b7dec5484,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,808e5edcddce51c3,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
64,2087ff145dae502d,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
65,34f30283d3bd53ec,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
66,534431abbbd75d4f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
67,901722c88ebf50ea,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,2a8b9c88615450a8,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
69,2c67391395c65d6a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
70,974a70027f8f593c,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
71,5a4709a2348f58a7,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
72,135ae32b6edc55c5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,431ae29947e95c26,True,1.0,1.0,1.0,1.0,0.02644076218072968,1.0,1.0,1.0,,0.6523002722074035
74,e96f254899095cf1,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
75,35f226ec4cac52fc,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
76,1e241714a35658ff,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6875
77,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,0.2207517170720371,1.0,1.0,1.0,1.0,0.7564849115850116
78,661cdcf44ebe5c68,True,1.0,1.0,1.0,1.0,0.9541705574917108,1.0,1.0,1.0,1.0,0.9856782992161597
79,892904870078578a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
80,3a8a3a691f4450b5,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
81,55a584a116ec5e6d,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
82,090af86f693c507b,True,1.0,1.0,1.0,1.0,0.019598126333891568,1.0,1.0,1.0,,0.6498564736906756
83,7e5bb23808a850ca,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
84,054743e97abd5b9c,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
85,61232ab3e2085282,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
86,9215555823945665,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
87,dcb8fbfc6c1d5fd6,True,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,0.0
88,0f65bd2bac90534a,True,1.0,1.0,1.0,1.0,0.9920381561427326,1.0,0.0,1.0,1.0,0.872511923794604
89,ed02d0df47ca55e7,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
90,5b21d7acaa545a46,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
91,1983aff496265a16,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
92,b354451e4f8859f9,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
93,4b5fd21bc8bd5a8b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
94,78b4153a6d3e5b33,True,1.0,1.0,1.0,1.0,0.5122328719156526,1.0,1.0,1.0,,0.8257974542555903
95,11094634534c53fd,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
96,644b16fd65f956b8,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,,0.0
97,8e0ecc2622425ef0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,0.8571428571428571
98,e18ca78f3c5f5a04,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
99,e5caf6d750415ee7,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
100,c5dfe79ae983556a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
101,c4f21fef5b86535b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,47bc25abb0705dc9,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
103,cc6022c226c15d80,True,0.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0
104,a1665c3aeb8f551f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
105,0d5496cc08dc50fe,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
106,88642e4f16be55bd,True,1.0,1.0,1.0,1.0,0.6268577335715689,0.0,1.0,0.0,0.0,0.3208930417411153
107,fca1702dec8a50c6,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
108,14d112b14e9a5d5c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
109,f962927ff5dc518c,True,1.0,0.0,0.0,1.0,0.9653391954516604,1.0,0.0,1.0,1.0,0.0
