,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,f2280f25f98852c0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
1,e805310ff3055efa,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2,31cda9ad4b8257b9,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
3,6280a12d79b4518a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,5997813b7cc55036,True,1.0,1.0,1.0,1.0,0.7867828767000109,1.0,1.0,1.0,1.0,0.9333696489687534
5,0c318d7923d15b78,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
6,2a8b9c88615450a8,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
7,cddadd26002959f4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,0.9234122432443387,1.0,1.0,1.0,1.0,0.9760663260138558
9,431ae29947e95c26,True,1.0,1.0,1.0,1.0,0.4656184544443469,1.0,1.0,1.0,,0.8091494480158382
10,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,c9b12b21fa7c57fd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
12,d6fc32608ecc581c,True,1.0,0.0,1.0,1.0,0.848612823614186,1.0,1.0,1.0,1.0,0.0
13,45e8b10f95925c47,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,014369205e025f0c,True,1.0,0.0,1.0,1.0,0.7745137958410786,1.0,1.0,1.0,1.0,0.0
15,08e8092f5e66571f,True,1.0,0.0,1.0,1.0,0.7956537236165625,1.0,1.0,1.0,1.0,0.0
16,260c9a75f6e05785,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
17,868b74972b4c59fd,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
18,534431abbbd75d4f,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,2e21fba9a22851ae,True,1.0,1.0,1.0,1.0,0.8781079630642354,1.0,1.0,1.0,1.0,0.9619087384575735
20,d5407856a57357ce,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
21,901722c88ebf50ea,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
22,5f2c3f928abe5f5b,True,1.0,0.0,1.0,1.0,0.7662771514613744,1.0,1.0,1.0,1.0,0.0
23,2c67391395c65d6a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
24,5d3e45ad38ef5b9c,True,1.0,0.0,1.0,1.0,0.9678936594938007,1.0,1.0,1.0,,0.0
25,e8f5c2714bfe5213,True,1.0,1.0,1.0,1.0,0.9792125368990685,1.0,1.0,1.0,1.0,0.9935039177809589
26,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,0.6207110735107773,1.0,1.0,1.0,,0.8645396691109919
27,24567f5ad57455c4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
28,ff5e13b14d735e52,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
29,80ae73dfb4c45e8d,True,1.0,0.0,1.0,1.0,0.9974441907973034,1.0,1.0,1.0,1.0,0.0
30,d9fdaff6c17659bc,True,1.0,0.0,1.0,1.0,0.7701436750654336,1.0,1.0,1.0,1.0,0.0
31,f587b097f5f65db6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,e96f254899095cf1,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
33,5ee6f86b7dec5484,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
34,1f0f883695f05e6c,True,1.0,0.0,1.0,1.0,0.7993819191201531,1.0,1.0,1.0,1.0,0.0
35,812464919a4f5362,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,ab2b84d310be5bed,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
37,1e241714a35658ff,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,5a4709a2348f58a7,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
39,ac0fb7997f4e5106,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
40,2087ff145dae502d,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
