,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,45102df6530d59e8,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1,4e52fd2c46fa5a3f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2,db1794b15b1a54b4,True,1.0,1.0,1.0,1.0,0.8641654296383517,1.0,1.0,1.0,1.0,0.9575516967619849
3,534e6a7d7e8c528b,True,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,dc95b5731cc359f3,True,1.0,1.0,1.0,1.0,0.46764562841862534,1.0,0.0,1.0,0.0,0.5836392588808204
5,5c34deba76605c7b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.8571428571428571
6,b46f5915049e52a5,True,1.0,1.0,1.0,1.0,0.5970279801738715,1.0,1.0,1.0,0.0,0.7490712438043349
7,10ffaee1fe81544d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,6b5a3fa1663e5a8d,True,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
9,1e01550fc9d656d8,True,1.0,1.0,1.0,1.0,0.4112211602564246,1.0,1.0,0.0,0.0,0.5660066125801326
10,96540ed00a785607,True,0.0,1.0,1.0,1.0,0.29764200187682077,1.0,1.0,0.0,0.0,0.0
11,5bbd26efb97658ec,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
12,b6968f154bfb5a5d,True,1.0,1.0,1.0,1.0,0.5601268984584642,1.0,1.0,1.0,,0.8429024637351658
13,af3ca613840a5058,True,1.0,1.0,1.0,1.0,0.7671327846259971,1.0,1.0,1.0,0.0,0.8022289951956241
14,b4561c216e6c5e21,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,81d893bd99de519b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,4b594a8e80915943,True,1.0,1.0,1.0,1.0,0.8833359173968262,1.0,1.0,1.0,,0.9583342562131522
17,697882c22eb65ca7,True,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
18,c8df3a922f9d5550,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
19,510e507046865b40,True,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
20,08e5f4c2c0965b15,True,1.0,0.0,1.0,1.0,0.5981187508254373,1.0,1.0,0.0,0.0,0.0
21,6fed9368351f54d5,True,0.5,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0
22,2dbaea2c3ad8531f,True,1.0,0.0,1.0,1.0,0.9551016978421024,1.0,1.0,1.0,1.0,0.0
23,2e8c4827d8c757a3,True,0.5,0.0,1.0,1.0,0.8135044237480756,1.0,1.0,1.0,1.0,0.0
24,b9c8a72571a85792,True,0.0,0.0,1.0,1.0,0.9427807439451842,0.0,1.0,1.0,1.0,0.0
25,de2379f94fc85652,True,1.0,1.0,1.0,1.0,0.43840590871962065,1.0,1.0,0.0,0.0,0.5745018464748815
26,11094634534c53fd,True,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,9326163d4c9c5d16,True,1.0,1.0,1.0,1.0,0.9790587381847331,1.0,1.0,1.0,0.0,0.8684558556827291
28,1a3569d56fbf5521,True,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
29,b3de35a12e36586c,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0
30,008144fe47ac5f74,True,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
31,ed98a4566ea95092,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0
32,fdc126183c355692,True,1.0,1.0,1.0,1.0,0.8958842044533087,1.0,1.0,1.0,,0.962815787304753
33,85159c024a355d8d,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
34,690fef019ad25dd6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
