,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,b5271c19eef859ed,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1,00ff8eeb53cc598b,True,0.5,0.0,0.5,1.0,0.7780808575582759,0.0,1.0,1.0,1.0,0.0
2,c4f21fef5b86535b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,646244aaa99d5c9c,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
4,f3572fcbcd285f1e,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,f5a6d648a71e5d47,True,1.0,1.0,1.0,1.0,0.5707551992274129,1.0,1.0,1.0,1.0,0.8658609997585666
6,6914bcabdeec5e0f,True,1.0,1.0,1.0,1.0,0.9965294261288569,1.0,1.0,1.0,0.0,0.8739154456652678
7,7868ce187ae55819,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
8,e7cfffa4e8dd53a8,True,0.5,0.0,0.0,1.0,0.8827795713042311,0.0,0.0,1.0,1.0,0.0
9,8db7275969855f22,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10,c5dfe79ae983556a,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
11,70d3c6183c525745,True,1.0,1.0,1.0,1.0,0.7667428239510302,1.0,1.0,1.0,1.0,0.9271071324846969
12,aee5c527d8e85667,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,e905f33735985cfe,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
14,dc39ce9c251551bb,True,1.0,1.0,1.0,1.0,0.7969764058221656,1.0,1.0,1.0,1.0,0.9365551268194268
15,9e8403c32a50530b,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,d5407856a57357ce,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
17,431ae29947e95c26,True,1.0,1.0,1.0,1.0,0.5399376781901247,1.0,1.0,1.0,,0.8356920279250445
18,aba1622c877f51bb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,d6641a8596f25d47,True,0.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0
20,a6b457a7eb6a5cde,True,1.0,1.0,1.0,1.0,0.8986773554280004,1.0,1.0,1.0,1.0,0.9683366735712502
21,32837dd54e375ca0,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
22,23d71fb39b0456f5,True,0.5,0.0,0.5,1.0,0.8583844029144166,0.0,1.0,1.0,1.0,0.0
23,f3fc5020ecbd537f,True,1.0,1.0,1.0,1.0,0.4093949318032697,1.0,1.0,1.0,1.0,0.8154359161885218
24,1511499da17054b0,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
25,14d112b14e9a5d5c,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
26,0b5b1309df2f5627,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
27,24567f5ad57455c4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
28,076e4afb95d057cf,True,1.0,0.0,0.5,1.0,0.7065247572986602,1.0,0.0,1.0,1.0,0.0
29,2115a02d06035ce0,True,1.0,1.0,1.0,1.0,0.7638826996169356,1.0,1.0,1.0,,0.9156723927203342
30,3af1019a97d959fa,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
31,0af464147919575d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,6f7a20c618a9573e,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
33,77f9c895af8b59f3,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
34,5d3e45ad38ef5b9c,True,1.0,1.0,1.0,1.0,0.96342322349124,1.0,1.0,1.0,,0.9869368655325857
35,b966c10ea361593f,True,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
36,54e1372d95955eaa,True,1.0,1.0,1.0,1.0,0.47126230243530765,1.0,1.0,1.0,1.0,0.8347694695110337
37,46aea2dcb1485353,True,1.0,1.0,1.0,1.0,0.6132938677567177,1.0,1.0,1.0,,0.8618906670559705
38,ca41dc3231965d47,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
39,4ccc9e33aa795ef1,True,1.0,1.0,1.0,1.0,0.5329665832961487,1.0,1.0,1.0,,0.833202351177196
40,19d3dfdf0d2d5b6f,True,1.0,1.0,1.0,1.0,0.7690943477445815,1.0,1.0,1.0,,0.9175336956230647
41,b1457b7279f75735,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
42,4ba0a7c883e85b4f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
43,50d6986491d3510a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
44,be527ba55a8a548b,True,1.0,1.0,1.0,1.0,0.6997971353966033,1.0,1.0,1.0,1.0,0.9061866048114385
45,dbfc9f81daf956a9,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
46,765dacfed4925185,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
47,40d43586b1195366,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
48,f7103dfe59a959be,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
49,14c2bb3737ab519c,True,1.0,1.0,1.0,1.0,0.9427791074748209,1.0,1.0,1.0,,0.9795639669552931
50,899ed9ca42d750c6,True,1.0,1.0,1.0,1.0,0.5533611229394044,1.0,1.0,1.0,1.0,0.8604253509185639
51,10ffaee1fe81544d,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
52,20024f7ea9635ed8,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
53,305634c7b587567f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
54,5a7633ce22365440,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
55,f465e74f13e652ce,True,0.5,0.0,0.5,1.0,0.7423481897854788,0.0,1.0,1.0,1.0,0.0
56,f4af3907bb665bf7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
57,885aa5c90eb9554c,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
58,87b8587f94c5549a,True,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
59,d58a453c3f155916,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,f6195258cc20552f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
61,5022f5d01ba85e74,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
62,7e134ea5ffa259f2,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
63,bb4ca2b147d35b62,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
64,8aaf40c869ca574f,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
65,2376e90f1bf85c50,True,1.0,1.0,1.0,1.0,0.599623266070382,1.0,1.0,1.0,1.0,0.8748822706469943
66,efe0cf18491855e6,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0
67,30f09e001cf55013,True,1.0,0.0,0.5,1.0,0.8223749604366343,1.0,0.0,1.0,1.0,0.0
