,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,741ee8b9ea3059a5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
1,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,c9a4d6a0295f5142,True,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
3,29efe3c61a4a580f,True,1.0,1.0,1.0,1.0,0.9000850264909337,1.0,1.0,1.0,0.0,0.8437765707784168
4,2d357ffc1fdd5c89,True,1.0,1.0,1.0,1.0,0.9254867172907618,1.0,1.0,1.0,1.0,0.976714599153363
5,885aa5c90eb9554c,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
6,1a3569d56fbf5521,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
7,84876bb274165ade,True,1.0,1.0,1.0,1.0,0.8804829274439563,1.0,1.0,1.0,1.0,0.9626509148262363
8,d3e99c65bb2a5d79,True,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0
9,32837dd54e375ca0,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
10,1ad3e9d726b35d0e,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
11,6761ba552b3759fa,True,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.32142857142857145
12,dbfc9f81daf956a9,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,91ae20bf459859fe,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
14,df2ed02abeba57fe,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,2cd1545c4c835ead,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
16,e67e31370c185b83,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
17,947829285f5d5526,True,1.0,1.0,1.0,1.0,0.9779444663693077,1.0,1.0,1.0,1.0,0.9931076457404087
18,f962927ff5dc518c,True,1.0,0.0,1.0,1.0,0.9466546037341849,1.0,1.0,1.0,1.0,0.0
19,00ff8eeb53cc598b,True,0.5,0.0,0.0,1.0,0.8742245421535677,0.0,0.0,1.0,1.0,0.0
20,c08100986326547c,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
21,6d585a6698f55c8b,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
22,2376e90f1bf85c50,True,1.0,1.0,1.0,1.0,0.37996553976110503,1.0,1.0,1.0,1.0,0.8062392311753453
23,15b0967d1dab53f8,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,0.8571428571428571
