,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,ed98a4566ea95092,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1,b9c8a72571a85792,True,1.0,1.0,1.0,1.0,0.954892011345612,1.0,1.0,1.0,1.0,0.9859037535455037
2,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,0.8876024329937159,1.0,1.0,1.0,,0.95985801178347
3,808e5edcddce51c3,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
4,35f226ec4cac52fc,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
5,6884907db45c5cad,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5625
6,473a047c10f45ef3,True,1.0,1.0,1.0,1.0,0.8989095404707794,1.0,1.0,1.0,1.0,0.9684092313971185
7,014369205e025f0c,True,1.0,1.0,1.0,1.0,0.8847581143960351,1.0,1.0,1.0,1.0,0.963986910748761
8,6280a12d79b4518a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,91ae20bf459859fe,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10,e8f5c2714bfe5213,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
11,24d02c4c2a325f01,True,0.0,1.0,1.0,1.0,0.9366493947618872,0.0,0.0,1.0,1.0,0.0
12,5a4709a2348f58a7,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
13,4b594a8e80915943,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0
14,14d171fcb9295596,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
15,431ae29947e95c26,True,1.0,1.0,1.0,1.0,0.6585977019169015,1.0,1.0,1.0,,0.8780706078274648
16,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1f0f883695f05e6c,True,1.0,0.0,1.0,1.0,0.8259931320419922,1.0,1.0,1.0,1.0,0.0
18,974a70027f8f593c,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
19,f6195258cc20552f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
20,45e8b10f95925c47,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,91defa409f0254d5,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
