,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,31cda9ad4b8257b9,True,1.0,1.0,1.0,1.0,0.7560769544461706,1.0,1.0,1.0,0.0,0.7987740482644283
1,a3a47ea11a5e5939,True,1.0,1.0,1.0,1.0,0.7109332015000325,1.0,1.0,1.0,,0.8967618576785831
2,e1f6c044f4235462,True,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5c9c6666d0725c64,True,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
4,dc8fc926ef0451f1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
5,ac0fb7997f4e5106,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
6,a0e9cbedca0a56b7,True,1.0,1.0,1.0,1.0,0.9518089080294242,1.0,1.0,1.0,,0.9827888957247943
7,26cc0e92707756f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,e16ed6e841ee58cd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.8571428571428571
9,c4f21fef5b86535b,True,1.0,1.0,1.0,1.0,0.6482529521713354,1.0,1.0,1.0,0.0,0.7650790475535423
10,ebfb953d479d5982,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
11,2c0e25d51b0b5e31,True,1.0,0.0,1.0,1.0,0.1438309912480302,1.0,1.0,0.0,0.0,0.0
12,20f825e0d33a5160,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
13,bcd26bf1bf055164,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
14,cf3b00d5d2b953d3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
15,785a51e5263b5bec,True,1.0,1.0,1.0,1.0,0.7693729544571334,1.0,1.0,1.0,0.0,0.8029290482678542
16,8aaf40c869ca574f,True,1.0,0.0,1.0,1.0,0.5783852405018429,1.0,1.0,1.0,0.0,0.0
17,0d5496cc08dc50fe,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
18,2d305230053e5e19,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
20,d77a9c90baf35d87,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
21,58857855de47556e,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2b5dabfa534156c0,True,0.0,1.0,1.0,1.0,0.20812215171494394,0.0,0.0,0.0,0.0,0.0
23,f7103dfe59a959be,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,f0455664b24358a7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,de31419c6502517b,True,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
26,368cb65e8fef57b7,True,1.0,1.0,1.0,1.0,0.378067634900163,1.0,1.0,1.0,,0.7778812981786297
27,a59aff81f75759ff,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
28,076e4afb95d057cf,True,0.5,0.0,0.5,1.0,0.9567749880441183,0.0,1.0,1.0,0.0,0.0
29,52c1d14554bb51f5,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
31,0456452c8a13546c,True,1.0,0.0,1.0,1.0,0.5455783658605217,1.0,1.0,1.0,1.0,0.0
32,4907817195ff5d6f,True,1.0,1.0,1.0,1.0,0.6687074800625309,1.0,1.0,1.0,0.0,0.771471087519541
