,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,4020785f2bf55d0b,True,0.0,1.0,1.0,1.0,0.052276303668945895,0.0,1.0,0.0,0.0,0.0
1,91ae20bf459859fe,True,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2,24567f5ad57455c4,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0
3,e805310ff3055efa,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4375
4,2c67391395c65d6a,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4375
5,d9fdaff6c17659bc,True,0.0,1.0,1.0,1.0,0.23013330397729162,0.0,1.0,0.0,0.0,0.0
6,dc2d59ce7b1258cf,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0
7,52de85cf514f5afd,True,0.0,1.0,1.0,1.0,0.9277336781786624,0.0,0.0,1.0,1.0,0.0
8,e8f5c2714bfe5213,True,1.0,1.0,1.0,1.0,0.73430323416215,1.0,1.0,1.0,0.0,0.7919697606756719
9,808e5edcddce51c3,True,0.0,0.0,0.5,1.0,0.049734868281361366,0.0,1.0,0.0,0.0,0.0
10,221199c4bcef5e62,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
11,e917a198bd9757a4,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
12,34f30283d3bd53ec,True,1.0,1.0,1.0,1.0,0.5844820839286367,1.0,1.0,1.0,,0.8516007442602274
13,210e056a17d1522d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
14,f6195258cc20552f,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4375
15,e57f09cee57d5ee1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
16,6280a12d79b4518a,True,1.0,1.0,1.0,1.0,0.7490957831273976,1.0,1.0,1.0,0.0,0.7965924322273117
17,c9b12b21fa7c57fd,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0
18,260c9a75f6e05785,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
19,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
20,23d70775af9754e8,True,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
21,661cdcf44ebe5c68,True,1.0,1.0,1.0,1.0,0.9152955597350254,1.0,1.0,1.0,0.0,0.8485298624171954
22,cddadd26002959f4,True,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
23,4b594a8e80915943,True,1.0,1.0,1.0,1.0,0.7495381882088193,1.0,1.0,1.0,,0.9105493529317211
24,31cda9ad4b8257b9,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,f587b097f5f65db6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
26,b9c8a72571a85792,True,1.0,1.0,1.0,1.0,0.9353886772553643,1.0,1.0,1.0,0.0,0.8548089616423014
27,ac0fb7997f4e5106,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
