layer,bypassed_rate,importance,bucket
0,0.0000,+0.6800,KEEP
1,0.2560,+0.4240,KEEP
2,0.4460,+0.2340,KEEP
3,0.4060,+0.2740,KEEP
4,0.4940,+0.1860,KEEP
5,0.4640,+0.2160,KEEP
6,0.4600,+0.2200,KEEP
7,0.4140,+0.2660,KEEP
8,0.4300,+0.2500,KEEP
9,0.5100,+0.1500,KEEP
10,0.5180,+0.1420,KEEP
11,0.2640,+0.3960,KEEP
12,0.3040,+0.3560,KEEP
13,0.1900,+0.4700,KEEP
14,0.4180,+0.2420,KEEP
15,0.5040,+0.1560,KEEP
16,0.5420,+0.1180,KEEP
17,0.5860,+0.0740,KEEP
18,0.6520,+0.0260,KEEP
19,0.6440,+0.0340,KEEP
20,0.6500,+0.0280,KEEP
21,0.6640,+0.0140,NEUTRAL
22,0.6920,-0.0140,NEUTRAL
23,0.7040,-0.0260,HARMFUL
24,0.5260,+0.1520,KEEP
25,0.5780,+0.1000,KEEP
26,0.6640,+0.0140,NEUTRAL
27,0.6200,+0.0560,KEEP
28,0.5400,+0.1360,KEEP
29,0.4000,+0.2760,KEEP
30,0.6880,-0.0120,NEUTRAL
31,0.6160,+0.0600,KEEP
32,0.5760,+0.1000,KEEP
33,0.5980,+0.0780,KEEP
34,0.6320,+0.0440,KEEP
35,0.5140,+0.1620,KEEP
