layer,bypassed_rate,importance,bucket
0,0.0000,+0.6100,KEEP
1,0.2900,+0.3200,KEEP
2,0.4800,+0.1300,KEEP
3,0.4800,+0.1300,KEEP
4,0.5200,+0.0900,KEEP
5,0.4400,+0.1700,KEEP
6,0.5100,+0.1000,KEEP
7,0.3900,+0.2200,KEEP
8,0.4200,+0.1900,KEEP
9,0.5000,+0.1800,KEEP
10,0.4800,+0.2000,KEEP
11,0.2500,+0.4300,KEEP
12,0.3600,+0.3200,KEEP
13,0.1500,+0.5300,KEEP
14,0.3800,+0.3000,KEEP
15,0.4500,+0.2300,KEEP
16,0.5600,+0.1200,KEEP
17,0.6800,+0.0000,NEUTRAL
18,0.6500,-0.0100,NEUTRAL
19,0.6500,-0.0100,NEUTRAL
20,0.6800,-0.0400,HARMFUL
21,0.6900,-0.0500,HARMFUL
22,0.6900,-0.0500,HARMFUL
23,0.6400,+0.0000,NEUTRAL
24,0.4400,+0.2000,KEEP
25,0.5500,+0.0900,KEEP
26,0.6800,-0.0400,HARMFUL
27,0.6000,+0.0000,NEUTRAL
28,0.5500,+0.0500,KEEP
29,0.4000,+0.2000,KEEP
30,0.6800,-0.0800,HARMFUL
31,0.6100,-0.0100,NEUTRAL
32,0.6300,-0.0300,HARMFUL
33,0.5300,+0.0700,KEEP
34,0.6000,+0.0000,NEUTRAL
35,0.5800,+0.0200,KEEP
