layer,bypassed_rate,importance,bucket
0,0.0000,+0.6520,KEEP
1,0.2880,+0.3640,KEEP
2,0.4880,+0.1640,KEEP
3,0.4360,+0.2160,KEEP
4,0.4660,+0.1860,KEEP
5,0.4420,+0.2100,KEEP
6,0.4900,+0.1620,KEEP
7,0.3980,+0.2540,KEEP
8,0.4280,+0.2240,KEEP
9,0.5300,+0.1320,KEEP
10,0.4860,+0.1760,KEEP
11,0.2600,+0.4020,KEEP
12,0.2880,+0.3740,KEEP
13,0.2080,+0.4540,KEEP
14,0.4240,+0.2380,KEEP
15,0.4300,+0.2320,KEEP
16,0.5880,+0.0740,KEEP
17,0.6100,+0.0520,KEEP
18,0.6720,-0.0100,NEUTRAL
19,0.6300,+0.0320,KEEP
20,0.6140,+0.0480,KEEP
21,0.6540,+0.0080,NEUTRAL
22,0.6920,-0.0300,HARMFUL
23,0.6900,-0.0280,HARMFUL
24,0.4820,+0.1800,KEEP
25,0.5300,+0.1320,KEEP
26,0.6800,-0.0180,NEUTRAL
27,0.6320,+0.0320,KEEP
28,0.5340,+0.1300,KEEP
29,0.3600,+0.3040,KEEP
30,0.7040,-0.0400,HARMFUL
31,0.6480,+0.0160,NEUTRAL
32,0.5920,+0.0720,KEEP
33,0.5760,+0.0880,KEEP
34,0.6200,+0.0440,KEEP
35,0.5020,+0.1620,KEEP
