layer,bypassed_rate,importance,bucket
0,0.0000,+0.6900,KEEP
1,0.7800,-0.0900,HARMFUL
2,0.6400,+0.0500,KEEP
3,0.6700,+0.0200,NEUTRAL
4,0.6800,+0.0100,NEUTRAL
5,0.6400,+0.0500,KEEP
6,0.8300,-0.1400,HARMFUL
7,0.6800,+0.0100,NEUTRAL
8,0.6400,+0.0500,KEEP
9,0.6500,+0.0300,KEEP
10,0.6800,+0.0000,NEUTRAL
11,0.6100,+0.0700,KEEP
12,0.7300,-0.0500,HARMFUL
13,0.6400,+0.0400,KEEP
14,0.6100,+0.0700,KEEP
15,0.6500,+0.0300,KEEP
16,0.6500,+0.0300,KEEP
17,0.7200,-0.0400,HARMFUL
18,0.7700,-0.0700,HARMFUL
19,0.6600,+0.0400,KEEP
20,0.6900,+0.0100,NEUTRAL
21,0.6400,+0.0600,KEEP
22,0.7000,+0.0000,NEUTRAL
23,0.6400,+0.0600,KEEP
24,0.6600,+0.0400,KEEP
25,0.6000,+0.1000,KEEP
26,0.6300,+0.0700,KEEP
27,0.6600,+0.0000,NEUTRAL
28,0.7200,-0.0600,HARMFUL
29,0.6700,-0.0100,NEUTRAL
30,0.6200,+0.0400,KEEP
31,0.5800,+0.0800,KEEP
32,0.6400,+0.0200,KEEP
33,0.4600,+0.2000,KEEP
34,0.6900,-0.0300,HARMFUL
35,0.7600,-0.1000,HARMFUL
