[server] variant=1.5 loading /home/irteam/ws/alpamayo_pruning/weights/Alpamayo-1.5-10B on cuda:0 ...
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 5/5 [00:00<00:00, 75.52it/s]
[server] loaded in 21.4s, VRAM=22.2 GB
[server] ready on tcp://127.0.0.1:5558
[server] inference ok 2.3s
[server] inference ok 1.6s
[server] inference ok 1.4s
[server] inference ok 1.7s
[server] inference ok 1.6s
[server] inference ok 1.1s
[server] inference ok 2.3s
[server] inference ok 1.3s
[server] inference ok 1.3s
[server] inference ok 1.5s
[server] inference ok 1.1s
[server] inference ok 1.4s
[server] inference ok 1.7s
[server] inference ok 1.3s
[server] inference ok 1.1s
[server] inference ok 1.3s
[server] inference ok 1.0s
[server] inference ok 1.5s
[server] inference ok 1.3s
[server] inference ok 1.4s
[server] inference ok 2.4s
[server] inference ok 1.3s
[server] inference ok 1.3s
[server] inference ok 1.1s
[server] inference ok 1.5s
[server] inference ok 1.1s
[server] inference ok 1.8s
[server] inference ok 1.5s
[server] inference ok 1.3s
[server] inference ok 1.3s
[server] inference ok 1.0s
[server] inference ok 1.2s
[server] inference ok 1.0s
[server] inference ok 0.8s
[server] inference ok 0.9s
[server] inference ok 0.8s
[server] inference ok 1.4s
[server] inference ok 1.0s
[server] inference ok 0.9s
[server] inference ok 0.9s
[server] inference ok 1.3s
[server] inference ok 1.3s
[server] inference ok 1.9s
[server] inference ok 1.2s
[server] inference ok 1.2s
[server] inference ok 1.3s
[server] inference ok 1.4s
[server] inference ok 1.3s
[server] inference ok 1.4s
[server] inference ok 1.5s
[server] inference ok 1.3s
[server] inference ok 1.4s
[server] inference ok 1.2s
[server] inference ok 1.4s
[server] inference ok 1.5s
[server] inference ok 1.4s
[server] inference ok 1.2s
[server] inference ok 1.1s
[server] inference ok 1.4s
[server] inference ok 1.4s
[server] inference ok 1.2s
[server] inference ok 1.3s
[server] inference ok 1.7s
[server] inference ok 1.1s
[server] inference ok 1.6s
[server] inference ok 1.5s
[server] inference ok 1.3s
[server] inference ok 1.6s
[server] inference ok 1.2s
[server] inference ok 1.3s
[server] inference ok 1.4s
[server] inference ok 1.2s
[server] inference ok 1.7s
[server] inference ok 1.3s
[server] inference ok 1.0s
[server] inference ok 1.4s
[server] inference ok 1.2s
[server] inference ok 1.1s
[server] inference ok 1.1s
[server] inference ok 1.5s
[server] inference ok 1.2s
[server] inference ok 1.6s
[server] inference ok 1.3s
[server] inference ok 1.2s
[server] inference ok 1.3s
[server] inference ok 1.1s
[server] inference ok 1.2s
[server] inference ok 1.3s
[server] inference ok 1.4s
[server] inference ok 1.2s
[server] inference ok 1.1s
[server] inference ok 1.4s
[server] inference ok 1.2s
[server] inference ok 1.3s
[server] inference ok 1.3s
[server] inference ok 1.4s
[server] inference ok 1.3s
[server] inference ok 1.3s
[server] inference ok 1.7s
[server] inference ok 1.2s
[server] inference ok 1.2s
[server] inference ok 2.2s
[server] inference ok 1.3s
[server] inference ok 1.3s
[server] inference ok 1.3s
[server] inference ok 1.5s
[server] inference ok 1.4s
